"","word","freq","word","freq","word","freq"
"1","unforgettable",24,"roll in peace",24,"unforgettable",36
"2","1-800-273-8255",19,"bank account",21,"1-800-273-8255",20
"3","bad at love",19,"believer",20,"attention",20
"4","bank account",19,"bodak yellow",20,"bank account",20
"5","believer",19,"dusk till dawn",20,"believer",20
"6","bodak yellow",19,"gucci gang",20,"bodak yellow",20
"7","butterfly effect",19,"i get the bag",20,"feel it still",20
"8","candy paint",19,"look what you made me do",20,"havana",20
"9","congratulations",19,"mi gente",20,"i get the bag",20
"10","dna.",19,"new rules",20,"mi gente",20
"11","drowning",19,"rake it up",20,"new rules",20
"12","fuck love",19,"the race",20,"roll in peace",20
"13","go flex",19,"the weekend",20,"shape of you",20
"14","goosebumps",19,"too good at goodbyes",20,"silence",20
"15","gucci gang",19,"when we",20,"sorry not sorry",20
"16","havana",19,"1-800-273-8255",19,"the way life goes",20
"17","humble.",19,"congratulations",19,"the weekend",20
"18","i get the bag",19,"criminal",19,"thunder",20
"19","jocelyn flores",19,"mayores",19,"what lovers do",20
"20","let me go",19,"pills & automobiles",19,"young dumb & broke",20
"21","location",19,"rolex",19,"...ready for it?",19
"22","love. feat. zacari.",19,"thunder",19,"bad at love",19
"23","meant to be",19,"young dumb & broke",19,"despacito",19
"24","new rules",19,"despacito",18,"greatest love story",19
"25","plain jane",19,"havana",18,"that's what i like",19
"26","rockstar",19,"bad at love",17,"fuck love",18
"27","roll in peace",19,"betrayed",17,"gucci gang",18
"28","shape of you",19,"miss it",17,"i'll name the dogs",18
"29","silence",19,"no smoke",17,"i could use a love song",18
"30","slippery",19,"shape of you",17,"light it up",18
"31","sorry not sorry",19,"transportin'",17,"look what you made me do",18
"32","the way life goes",19,"do re mi",16,"no limit",18
"33","thunder",19,"hi bich / whachu know",16,"pills and automobiles",18
"34","what lovers do",19,"what ifs",16,"too good at goodbyes",18
"35","xo tour llif3",19,"gummo",15,"what about us",18
"36","young dumb & broke",19,"how long",15,"perfect",17
"37","feel it still",18,"krippy kush",15,"rockstar",17
"38","i fall apart",18,"meant to be",15,"dusk till dawn",16
"39","love galore",18,"no limit",15,"humble.",16
"40","mi gente",18,"plain jane",15,"i fall apart",16
"41","perfect",18,"rockstar",15,"jocelyn flores",16
"42","redbone",18,"rubbin off the paint",15,"let me go",16
"43","magnolia",17,"sorry not sorry",15,"like i loved you",16
"44","mask off",17,"that's what i like",15,"losing sleep",16
"45","no limit",17,"xo tour llif3",15,"plain jane",16
"46","rake it up",17,"corrido de juanito",14,"round here buzz",16
"47","let you down",16,"i'm the one",14,"sky walker",16
"48","white iverson",16,"motorsport",14,"the race",16
"49","how long",15,"what lovers do",14,"there's nothing holdin' me back",16
"50","attention",14,"wolves",14,"when it rains it pours",16
"51","body like a back road",14,"dna",13,"congratulations",15
"52","new freezer",14,"faded",13,"sauce it up",15
"53","sauce it up",14,"perfect",13,"transportin'",15
"54","dusk till dawn - radio edit",13,"praying",13,"do re mi",14
"55","losin control",13,"ric flair drip",13,"how long",14
"56","motorsport",13,"tennessee whiskey",13,"lights down low",14
"57","relationship",13,"the way life goes",13,"praying",14
"58","ric flair drip",13,"lemon",12,"rake it up",14
"59","rubbin off the paint",13,"let you down",12,"slow hands",14
"60","sky walker",13,"sky walker",12,"strip that down",14
"61","wolves",13,"„âchame la culpa",11,"every little thing",13
"62","betrayed",12,"el farsante",11,"fix a drink",13
"63","despacito - remix",12,"humble.",11,"let you down",13
"64","ghostface killers",12,"love galore",11,"love so soft",13
"65","gummo",12,"silence",11,"yours",13
"66","i miss you",12,"unforgettable",11,"candy paint",12
"67","look what you made me do",12,"when it rains it pours",11,"crew",12
"68","pick it up",12,"b.e.d.",10,"glorious",12
"69","the race",12,"crew",10,"good old days",12
"70","too good at goodbyes",12,"location",10,"mayores",12
"71","wanted you",12,"look at me!",10,"meant to be",12
"72","...ready for it?",11,"mask off",10,"questions",12
"73","transportin'",11,"mic drop",10,"relationship",12
"74","what ifs",11,"all of me",9,"something just like this",12
"75","codeine dreaming",10,"attention",9,"what ifs",12
"76","everybody dies in their nightmares",10,"codeine dreaming",9,"wolves",12
"77","i'm the one",10,"esc„Åpate conmigo",9,"xo tour llif3",12
"78","ispy",10,"him & i",9,"you broke up with me",12
"79","it's a vibe",10,"jocelyn flores",9,"body like a back road",11
"80","say you won't let go",10,"kooda",9,"motor sport",11
"81","wait",10,"poles1469",9,"ric flair drip",11
"82","„âchame la culpa",9,"slippery",9,"too much to ask",11
"83","end game",9,"there's nothing holdin' me back",9,"wild thoughts",11
"84","glorious",9,"wild thoughts",9,"all the pretty girls",10
"85","him & i",9,"all i want for christmas is you",8,"b.e.d.",10
"86","praying",9,"alone",8,"go flex",10
"87","slow hands",9,"butterfly effect",8,"heartache on the dance floor",10
"88","strip that down",9,"coraz„ìn",8,"lemon",10
"89","do re mi",8,"feel it still",8,"location",10
"90","good old days",8,"felices los 4",8,"love.",10
"91","home",8,"my dawg",8,"more girls like you",10
"92","homemade dynamite  - remix",8,"perfect duet",8,"no promises",10
"93","never be the same",8,"relationship",8,"rubbin off the paint",10
"94","perfect duet",8,"se prepar„ì",8,"betrayed",9
"95","questions",8,"strip that down",8,"butterfly effect",9
"96","stargazing",8,"bella y sensual",7,"escapate conmigo",9
"97","wokeuplikethis*",8,"d rose",7,"friends",9
"98","friends",7,"everyday we lit",7,"gummo",9
"99","i like me better",7,"i'm not racist",7,"it's a vibe",9
"100","perplexing pegasus",7,"la modelo",7,"love galore",9
"101","river",7,"marry me",7,"pick it up",9
"102","tell me you love me",7,"sauce it up",7,"„âchame la culpa",8
"103","that's what i like",7,"say you won't let go",7,"all on me",8
"104","the weekend",7,"solar eclipse",7,"do i make you wanna",8
"105","too good at goodbyes - edit",7,"swish swish",7,"end game",8
"106","tunnel vision",7,"tempo",7,"feels",8
"107","what about us",7,"untouchable",7,"say you won't let go",8
"108","wild thoughts",7,"what about us",7,"small town boy",8
"109","all i want for christmas is you",6,"'till i collapse",6,"they don't know",8
"110","bad and boujee",6,"bad and boujee",6,"written in the sand",8
"111","bartier cardi",6,"bartier cardi",6,"ask me how i know",7
"112","lonely together",6,"candy paint",6,"broken halos",7
"113","loyalty. feat. rihanna.",6,"el color de tus ojos",6,"codeine dreaming",7
"114","mic drop  [steve aoki remix]",6,"freestyle",6,"ghostface killers",7
"115","pray",6,"idfc",6,"loyalty.",7
"116","real friends",6,"it's a vibe",6,"mic drop",7
"117","stir fry",6,"last christmas",6,"smooth",7
"118","there's nothing holdin' me back",6,"let it snow! let it snow! let it snow!",6,"tell me you love me",7
"119","a holly jolly christmas - single version",5,"love.",6,"wanted you",7
"120","back to you",5,"nothin new",6,"five more minutes",6
"121","bounce back",5,"ten toes",6,"him & i",6
"122","christmas time is here - vocal",5,"...ready for it?",5,"it ain't my fault",6
"123","curve",5,"b„Åilame",5,"kooda",6
"124","do they know it's christmas? - 1984 version",5,"beast mode",5,"legends",6
"125","feels",5,"blue christmas",5,"marry me",6
"126","it's beginning to look a lot like christmas",5,"bonita",5,"no smoke",6
"127","it's the most wonderful time of the year",5,"drowning",5,"no such thing as a broken heart",6
"128","jingle bell rock",5,"finesse",5,"redbone",6
"129","last christmas",5,"hallelujah",5,"whatever you need",6
"130","let it snow! let it snow! let it snow!",5,"happy",5,"when we",6
"131","pills & automobiles",5,"ice tray",5,"back to you",5
"132","rewrite the stars",5,"it's beginning to look a lot like christmas",5,"felices los 4",5
"133","rockin' around the christmas tree - single version",5,"lose yourself",5,"fetish",5
"134","saint",5,"loyalty",5,"i'm the one",5
"135","the christmas song",5,"nowadays",5,"juice",5
"136","the greatest show",5,"ready for it?",5,"krippy kush",5
"137","white christmas",5,"reggaet„ìn lento",5,"my dawg",5
"138","a different way",4,"rock",5,"never be the same",5
"139","all the stars",4,"selfish",5,"stay",5
"140","blue christmas",4,"too hotty",5,"wish i knew you",5
"141","carol of the bells",4,"what's my name",5,"all i want for christmas is you",4
"142","dna",4,"ahora me llama",4,"beautiful trauma",4
"143","finesse  [feat. cardi b]",4,"awful things",4,"dna",4
"144","go legend",4,"boss",4,"drinkin' problem",4
"145","gorgeous",4,"check callin",4,"everybody dies in their nightmares",4
